"Gene.names","mIMCD_1","mIMCD_2","mIMCD_3","mIMCD_4"
"CFP",16.9,16.59,12.72,12.63
"TIMP1",85.02,94.5,93.25,87.01
"UXT",95.26,84.09,87.27,95.05
"CNNM3",380.8,384.74,399.18,401.15
"LMAN2L",580.04,575.98,600.14,577.17
"MCM3AP",925.5,948.63,981.11,896.19
"PCNT",872.24,882.82,936.73,834.74
"FTCD",0,0,0,0
"MXD1",200.01,208.96,188.24,193.82
"GMCL1",606.67,594.83,585.92,605.59
"SNRNP27",558.02,570.64,545.53,611.34
"OAS1C",39.18,49.5,38.9,43.93
"OAS1H",0,0,0,0
"OCRL",227.92,235.12,232.37,215.93
"CALM1",4171.42,3976.36,3966.34,4170.04
"AGPAT3",2258.44,2330.09,2366.13,2370.69
"SLC26A3",0,0,0,0
"SEMA6B",1.28,1.12,0,0.86
"UHRF1",3813.92,3788.62,3738.94,3819.64
"DPP9",760.84,801.54,815.06,777.31
"RAMP2",20.36,18.53,17.95,20.29
"LSR",1728.62,1737.11,1808.27,1787.76
"GRAMD1A",348.28,361.12,339.59,342.57
"HPN",23.3,24.75,26.93,29.58
"GABRG1",0,0,0,0
"CKB",82.46,79.59,83.03,63.17
"SP1",1754.97,1848.04,1840.05,1686.99
"ITGB7",3.07,3.09,2.24,0.86
"MYG1",895.8,914.04,814.81,883.55
"RARG",795.67,838.95,834.5,794.82
"PFDN5",1351.89,1343.78,1261.11,1299.34
"EFNB2",607.95,563.89,587.92,598.7
"RRP15",362.37,353.24,373.99,371.28
"RND2",242.82,228.73,233.47,254.82
"SRR",193.07,192.71,207.34,185.3
"SYNC",4.61,3.69,3.49,2.3
"FNDC5",0,0.56,0.5,0
"ACP5",0,0,0,0
"CNN1",1.79,1.12,0.5,1.72
"FBXO9",159.8,161.15,144.11,165.4
"VPS50",667.62,724.76,668.2,687.72
"HARS",917.82,916.01,962.66,945.86
"ZMAT2",904.5,907.29,897.34,972.57
"UBE2C",2011.83,2027.76,2165.92,2150.16
"SMG5",2590.85,2751.4,2653.36,2698.33
"CCT3",4612.15,4337.89,4180.75,4423.22
"GLMP",2224.45,2369.3,2376.34,2306.03
"MEF2D",1377.35,1443.02,1509.46,1380.7
"TMEM79",457.57,480.81,463.52,472.99
"SND1",1413.86,1410.15,1362.34,1399.56
"COL18A1",6612.71,6517.8,6845.58,6457.95
"SLC19A1",231.5,224.99,207.19,217.66
"KPNB1",5370.17,5213.96,5409.2,5337.78
"NPEPPS",1737.56,1764.23,1789.19,1727.77
"TBX21",0,0.28,0,0
"MRPL10",684.78,718.01,710.83,752.89
"CYP51",1538.84,1484.96,1491.49,1464.74
"TCF25",2300.95,2284.25,2342.7,2331.35
"TUBB6",1838.71,1701.8,1755.78,1809.03
"DEF8",654.56,664.01,687.65,720.74
"MEOX1",0,0,0,0
"SOST",0,0,0,0
"NKX2-1",0,0,0,0
"PAX9",33.29,37.12,35.4,36.18
"IRX2",201.29,213.74,202.7,201.29
"COL1A1",23.3,23.34,21.69,24.98
"ITGA3",4268.23,4126.67,4198.7,3931.62
"SGCA",0,0,0,0
"DLX3",0,0,0,0.29
"FOXM1",1994.42,1988.95,2065.94,2003.14
"ITFG2",382.34,390.36,358.29,380.76
"NRIP2",356.73,352.12,353.05,342.85
"TULP3",659.17,661.2,695.63,668.48
"GTF2H4",427.41,441.83,399.43,450.82
"TUBB5",15559.93,14629.68,14613.19,15299.51
"ELL2",83.23,88.03,86.77,92.75
"JUP",3463.85,3571.78,3544.22,3519.28
"FKBP10",1385.18,1335.62,1370.81,1391.51
"KLHL10",3.07,2.53,1.5,3.45
"MNX1",0,0,0,0
"NOM1",840.74,890.13,894.09,893.03
"ERGIC1",1930.65,1953.51,2100.6,1949.73
"TNK1",199.64,215.68,224.5,220.45
"ACAP1",3.59,3.66,4.49,5.74
"TCEA3",49.17,51.19,48.87,53.7
"CSN3",0,0,0,0
"IFRD1",1482.8,1487.28,1517.13,1522.84
"STK38L",277.86,250.87,269.03,265.61
"BRPF1",876.33,929.51,962.16,920.02
"AKR1B3",2231.64,2327.87,2011.76,2223.04
"HOXC13",0,0,0,0
"HOXC11",0,0,0,0
"HOXC8",0,0.28,0,0
"HOXC6",1.54,0.84,0,1.15
"GSTT1",0,0,0.75,0.29
"GSTT3",54.8,56.81,52.11,60.88
"DDT",197.7,203.62,176.03,193.54
"TAT",0,0,0,0
"MARVELD3",410.51,428.05,418.62,420.96
"DDX18",738.89,782.56,734.83,777.71
