"Gene.names","HK2_01","HK2_02"
"agpat5",40.83,18.08
"agps",29.26,28.88
"agr2",0,0
"agr3",0,0
"agrn",21.63,16.26
"agrp",0,0.07
"agt",4.28,29.17
"agtpbp1",24.97,16.16
"agtr1",0,0
"agtr2",0,0
"agtrap",131.36,185.49
"agxt",0,0.05
"agxt2",0.47,0
"ahctf1",11.89,10.58
"ahcy",134.23,136.48
"ahcyl1",129.12,127.6
"ahcyl2",7.37,7.02
"ahdc1",2.04,2.03
"ahi1",15.86,29.68
"ahnak",20.28,55.93
"ahnak2",19.25,37.04
"ahr",4.11,4.78
"ahrr",0.05,1.02
"ahsa1",144.21,190.05
"ahsg",0.08,0.03
"aicda",4.2,0.58
"aida",23.8,14.92
"aif1l",132.89,128.94
"aifm1",108.95,86.6
"aifm2",11.11,12.51
"aifm3",0.17,0.31
"aig1",135.85,181.35
"aim2",0.41,0.33
"aimp1",28.67,35.5
"aimp2",48.32,74.13
"aip",48.58,56.74
"aipl1",0,0.15
"aire",0,0.02
"airn",0,0.05
"ajap1",0,0.03
"ajm1",0.93,1.21
"ajuba",33.6,20.34
"ak1",116.24,144.49
"ak2",289.69,171.23
"ak3",4.48,6.56
"ak4",160.71,87.65
"ak5",78.77,164.43
"ak7",2.54,3.71
"ak8",1.05,1.21
"ak9",3.57,3.25
"akain1",0,0
"akap1",20.21,25.53
"akap10",25.87,14.93
"akap11",1.62,3.44
"akap12",45.35,94.92
"akap13",13.11,22.21
"akap14",0,0
"akap2",26.8,27.04
"akap3",0.77,0.94
"akap4",0,0.11
"akap5",0.12,0.52
"akap6",0.91,0.93
"akap7",2.25,2.47
"akap8",16.39,18.19
"akap8l",59.89,79.43
"akap9",30.58,38.41
"akip1",39.66,38.83
"akirin1",60.02,48.19
"akirin2",46.62,44.12
"akna",0.23,2.99
"aknad1",0.19,0.12
"akr1a1",263.52,415.98
"akr1b10",1.09,0.15
"akr1d1",0.12,0.33
"akt1",118.97,105.09
"akt1s1",15.11,24.92
"akt2",6.32,12.03
"aktip",29.43,21.73
"alad",9.02,11.14
"alas1",106.47,75.88
"alas2",0,0.1
"alb",0,0
"alcam",92.14,76.37
"aldh16a1",22.65,31.64
"aldh18a1",229.77,126.16
"aldh1a1",0.1,0.14
"aldh1a2",1.32,0.97
"aldh1a3",13.91,92.76
"aldh1b1",43.08,57.1
"aldh1l1",0,0.35
"aldh1l2",1.07,6.13
"aldh2",0.37,1.37
"aldh3a1",0,0.1
"aldh3a2",14.75,14.6
"aldh3b1",18.94,21.18
"aldh3b2",0,0
"aldh4a1",24.09,33.59
"aldh5a1",3.5,12.36
"aldh6a1",19.17,33.5
"aldh7a1",83.55,104.59
"aldh8a1",0.43,0.11
"aldh9a1",62.17,62.21
"aldoa",4755.17,2484.12
"aldob",0,0.51
"aldoc",0.13,0.06
"alg1",17.7,23.19
"alg10b",3.17,4.15
"alg11",21.23,21.05
"alg12",25.48,25.22
"alg13",26.03,23.53
"alg14",5.89,9.68
"alg2",45.15,46
"alg3",210.24,262.87
"alg5",38.8,54.75
"alg6",22.95,18.69
"alg8",85.08,51.38
"alg9",29.53,21.51
"alk",0,0
"alkal1",0,0
"alkal2",0.46,0.11
"alkbh1",14.91,12.67
"alkbh2",29.93,38.41
"alkbh3",52.17,50.96
"alkbh4",12.82,23.49
"alkbh5",100.53,47.54
"alkbh6",69.06,78.87
"alkbh7",69.5,117.89
"alkbh8",4.61,7.16
"allc",0,0.02
"alms1",2.71,3.41
"alox12",0,0.22
"alox12b",1.04,0.3
"alox15",0,0.07
"alox5ap",2.82,1.25
"aloxe3",0.68,0.01
"alpi",0,0.03
"alpk1",7.24,12.71
"alpk2",17.01,37.49
"alpk3",0,0.04
"alpl",0.85,0.25
"als2",10.98,10.79
"als2cl",8.51,4.95
"alx1",3.41,4.4
"alx3",0,0
"alx4",0,0.01
"alyref",97.85,113.56
"amacr",125.7,317.83
"ambn",0,0.06
"ambp",0.34,4.02
"ambra1",2.48,3.45
"amd1",73.98,41.64
"amdhd1",0.29,1.16
"amdhd2",22.4,42.27
"amelx",0,0
"amer1",0.12,0.18
"amer2",0,0.02
"amer3",0,0.04
"amfr",113.97,80.26
"amh",3.87,2.19
"amhr2",0.11,0.13
"amigo1",0.57,0.87
"amigo2",479.78,549.88
"amigo3",0,0
"ammecr1",12.58,13.05
"ammecr1l",6.26,5.4
"amn",0.67,3.98
"amn1",12.4,8.43
"amot",0.86,2.21
"amotl1",1.53,2.86
"amotl2",33.64,43.85
"ampd1",0,0.18
"ampd2",143.23,114.56
"ampd3",13.91,6.22
"amph",0,0.07
"amt",0.59,1.02
"amtn",0,0
"amy2b",3.9,2.93
"amz1",9.82,15.92
"amz2",138.24,95.98
"anapc1",7.03,6.64
"anapc10",36.13,28.14
"anapc11",410.31,420.34
"anapc13",121.79,134.84
"anapc15",94.7,87.69
"anapc16",107.16,111.74
"anapc2",2.37,6.99
"anapc4",21.3,17.26
"anapc5",198.9,191.64
"anapc7",54.23,50.73
"ang",16.44,9.61
