"Gene.names","X3d_wt_24h_1","X3d_wt_24h_2","X3d_wt_24h_3","X3d_wt_24h_4","X3d_wt_72h_1","X3d_wt_72h_2","X3d_wt_72h_3","X3d_wt_72h_4","X3d_wt_7d_1","X3d_wt_7d_2","X3d_wt_7d_3","X3d_wt_7d_4"
"1700001J03RIK",1.68576310803405,1.56703632089227,0.645698293431614,2.57469739270971,0,1.30403573376617,0.654369456573768,0,0.67606204513447,1.65661793152936,1.21397642118848,2.45616647479309
"GM12537",4.48412986737058,0,1.01374632068763,0,0,0,2.66328368825523,4.88407161021324,0,5.17858765396077,7.25654405765413,7.97947083498405
"GM6401",0,0,0,0,0,0,0,0,0,0,0,0
"GM11239",0,0,0,0,0,0,0.327184728286884,0,0,0,0,0
"GM21756",0,0,0,0,0,0,0,0,0,0,0,0
"GM13146",0,0,0.645698293431614,0,0,0,0,0,0,0,0,0.307020809349136
"GM3159",0,0,0,0,0,0,0,0,0,0,0,0
"ZFP353-PS",0,0,0,0,0,0,0,0,0,0,0,0
"E030018B13RIK",0,0,0,0,0,0,0,0,0.67606204513447,0,0.606988210594239,0
"SLX",0,0,0,0,0,0,0,0,0,0,0,0
"VMN1R135",0,0,0,0,0,0,0,0,0,0,0,0
"GM5947",0,0,0,0,0,0,0,0,0,0,0,0
"DEFA20",0,0,0,0,0,0,0,0,0,0,0,0
"AF067061",0.674305243213621,0.313407264178454,0.968547440147421,1.60918587044357,0.625017209848873,0,0.981554184860651,0.338701221235315,0,0,0,1.53510404674568
"PRAMEL42",0,0,0,0,0,0.163004466720771,0,0.338701221235315,0,0,0,0
"OR6C6",0,0,0,0,0,0,0,0,0,0,0,0
"GM5866",1.01820091725257,0,0,0.321837174088713,0,0,0,0,1.02085368815305,0,0.306529046350091,0
"IGHA",0,0,0,0,0,0,0,0,0,0,0,0
"VMN1R257",0,0,0,0,0,0,0,0,0,0,0,0
"GM15091",0,0,0,0,0,0,0,0,0,0,0,0
"TRAV11D",0,0,0,0,0,0,0,0,0,0,0,0
"GM7408",0,0,0,0,0,0,0,0,0,0,0,0
"VMN2R111",0,0,0,0,0,0,0,0,0,0,0,0
"OR1E26",0,0,0,0,0,0,0,0,0,0,0,0
"VMN2R-PS17",0,0,0,0,0,0,0,0,0,0,0,0
"CCDC85B",457.853260142048,371.701015315646,305.092443646438,382.986237165569,246.256780680456,289.495932896089,328.493467200031,207.962549838483,213.635606262493,241.866218003286,322.614233930838,217.063712209839
"GM13285",1.55090205939133,0.852467758565394,0,0,0,0,0,0,0.899162520028845,0,0,0
"GM21171",0,0,0,0,0,0,0,0,0,0,0,0
"ESP15",0,0,0,0,0,0,0,0,0,0,0,0
"EDARADD",0,0.626814528356907,0.645698293431614,0,0,0,0,0.67740244247063,0,0,0,0
"VMN2R-PS10",0,0,0,0,0,0,0,0,0,0,0,0
"GM17467",0,0,0,0,0,0,0,0,0,0,0,0
"1700003E24RIK",0,0,0,0,0,0,0,0,0,0,0,0
"GM3633",0,0,0,0,0,0,0,0,0,0,0,0
"ITPRIPL2",240.052666584049,481.706965042283,369.985122136315,269.055877538164,499.38875066925,428.375738542186,367.428449866171,627.952064170274,462.426438871977,446.292870754009,320.793269299055,529.917916936609
"IGHV8-9",0,0,0,0,0,0,0,0,0,0,0,0
"GM21781",117.32911231917,205.595165301066,253.113731025193,168.964516396574,193.130317843302,214.187869271093,208.743856647032,209.994757165895,286.312276114448,290.570785190249,117.452218749985,228.730502965107
"VMN1R198",0,0,0,0,0,0,0,0,0,0,0,0
"TRAV6-7-DV9",0,0,0,0,0,0,0,0,0,0,0,0
"IGHV1-82",0,0,0,0,0,0,0,0,0,0,0,0
"GM5709",0,0,0,0,0,0,0,0,0,0,0,0
"IGHV1-39",0,0,0,0,0,0,0,0,0,0,0,0
"MID1-PS1",23.4051349919448,24.5084480587551,43.0164203084141,49.7334985119289,80.7147224798835,84.7753630521386,45.0860555579326,47.6586488400212,61.5926326219759,80.3128373205432,23.809112560559,21.2089975098383
"GM21858",0,0,0,0,0,0,0,0,0,0,0,0
"GM12616",0,0,0,0,0,0,0,0,0,0,0,0
"RPS12-PS17",0,0,0,0,0,0,0,0,0,0,0,0
"OR6C35",0,0,0,0,0,0,0,0,0,0,0,0
"POU3F2",0,0,0,0,0,0,0,0,0,0,0,0
"GM28891",0,0,0,0,0,0,0,0,0,0,0,0
"HSD3B4",0,0,0.645698293431614,1.77010445748792,0.156254302462218,0,0,1.18884128653596,0,0,0,0
"GM20873",0,0,0,0,0,0,0,0,0,0,0,0
"RPS19-PS13",0,0,0,0,0,0,0,0,0,0,0,0
"GM3657",0,0,0,0,0,0,0,0,0,0,0,0
"GM21095",0,0,0,0,0,0,0,0,0,0,0,0
"OR4K37",0,0,0,0,0,0,0,0,0,0,0,0
"TUBB4B-PS1",0.697905926726097,0,0.329306129650123,0,0.965651589216509,0,0.674000540270981,1.04997378582948,0.348171953244252,0.679213351927036,1.24736077277116,0.62939265916573
"VMN1R138",0,0,0,0,0,0,0,0,0,0,0,0
"GM4795",0,0,0,0,0,0,0,0,0,0,0,0
"IGHV8-11",0,0,0,0,0,0,0,0,0,0,0,0
"TAAR7B",0,0,0,0,0,0,0,0,0,0,0,0
"GM20822",0,0,0,0,0,0,0,0,0,0,0,0
"GM20069",0,0,0,0,0,0,0,0,0,0,0,0
"GM21638",0,0,0,0,0,0,0,0,0,0,0,0
"RHOX5",2.02291572964086,0.313407264178454,1.29139658686323,0,0,0,1.9631083697213,0,0,0,0,0
"VMN1R-PS75",0,0,0,0,0,0,0,0,0,0,0,0
"OR2Y11",0,0,0,0,0,0,0,0,0,0,0,0
"OR5B117",0,0,0,0,0,0,0,0,0,0,0,0
"GM10668",0,0,0,0,0,0,0,0,0,0,0,0
"VMN1R249",0,0,0,0,0,0,0,0,0,0,0,0
"GM21529",0,0,0,0,0,0,0,0,0,0,0,0
"GM20939",6.06874718892259,16.610585001458,14.5282116022113,13.1953241376372,12.8128528019019,14.3443930714279,12.7602044031885,15.9189573980598,13.5212409026894,21.2047095235758,8.19434084302223,12.5878531833146
"OR8G22",0,0,0,0,0,0,0,0,0,0,0,0
"GM3005",0,0,0,0,0,0,0,0,0,0,0,0
"GM8305",0,0,0,0,0,0,0,0,0,0,0,0
"IGHV1-59",0,0,0,0,0,0,0,0,0,0,0,0
"ZFP967",0,0,0,0,0,0,0,0,0,0.0331323586305871,0,0
"IGHV1-7",0,0,0,0,0,0,0,0,0,0,0,0
"VMN1R91",0,0,0,0,0,0,0,0,0,0,0,0
"GM6100",0,0,0,0,0,0,0,0,0,0,0,0
"GM13810",0,0,0,0,0,0,0,0,0,0,0,0
"IGHV1-52",0,0,0,0,0,0,0,0,0,0,0,0
"IGHV5-9-1",0,0,0,0,0,0,0,0,0,0,0,0
"OR5P53",0,0,0,0,0,0,0,0,0,0,0,0
"GM9944",0,0,0,0,0,0,0,0,0,0,0,0
"H2BC15",0,0.357284281163437,0,0,1.5781684548684,0,1.30873891314754,1.85608269236953,0.338031022567235,0,0,0
"OR10AK14",0,0,0,0,0,0,0,0,0,0,0,0
"GM10377",0,0,0,0,0,0,0,0,0,0,0,0
"GM14297",0,0,0,0,0,0,0,0,0,0,0,0
"SCGB1B19",0,0,0,0,0,0,0,0,0,0,0,0
"GM21586",0,0,0,0,0,0,0,0,0,0,0,0
"OR2F1B",0,0,0,0,0,0,0,0,0,0,0,0
"GM4845",0,0,0,0,0,0,0,0,0,0,0,0
"OR5P72",0,0,0,0,0,0,0,0,0,0,0,0
"CYPT14",0,0,0,0,0,0,0,0,0,0,0,0
"GM5478",0,0,0,0,0,0,0,0,0,0,0,0
"GM20834",0,0,0,0,0,0,0,0,0,0,0,0
"OR56A3B",0,0,0,0,0,0,0,0,0,0,0,0
"TDPOZ7",0.33715262160681,0.156703632089227,0,0.804592935221783,0,0,0,0,0,0,0,0
"ZFP799",39.7840093496036,71.7702634968659,59.4042429957085,65.9766206881862,73.4395221572426,60.9636705535684,51.3680023410408,80.2721894327696,64.9019563329091,81.8369258175502,83.764373062005,101.930908703913
