"Gene.names","Podo","PT.A","PT.B","PT.C","DL","tAL","TAL","DCT","CNT","PC","IC.PC","IC.A","IC.B","vSMC","Mono","Macro","NKcell","Tcell","Bcell","AVR","AEA.DVR","GC","Peri","Mesangial"
"ADO",39.7440483287628,5.12666581393125,12.6341988812417,2.23348643882872,8.81388598357092,4.58075665771337,5.82242719938548,13.4283972037257,5.92374949648129,6.28809537783069,4.85529845064392,5.60795789017408,4.34552107143168,10.6137832948485,3.39671028608792,2.76160703436544,13.5412670112167,7.77941721792481,0,8.24196923123032,9.81048937524001,4.99079554706962,4.74216830903762,15.6992032654343
"EGR2",139.10416915067,1.28166645348281,18.3195883778005,52.4869313124748,51.4143349041637,38.3117829554209,20.3784951978492,26.8567944074513,18.511717176504,23.0563497187125,34.2905453076727,31.3385882097963,4.34552107143168,41.275823924411,20.3802617165275,17.260043964784,9.02751134081112,15.5588344358496,0,16.8585734275166,50.9211115191029,14.9723866412089,33.1951781632634,31.3984065308686
"RP11-144G16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NRBF2",39.7440483287628,17.1743304766697,22.741557986235,17.8678915106297,19.0967529644037,35.81318841485,14.9719556555627,13.4283972037257,8.14515555766178,11.5281748593563,21.5453868747324,23.0915913124815,21.7276053571584,23.5861850996634,28.8720374317474,33.1392844123853,49.6513123744612,28.5245297990577,14.9354043760735,34.0917818200891,26.16130500064,34.2225980370488,37.937346472301,31.3984065308686
"JMJD1C",119.232144986288,22.5573295812975,121.920019203982,183.145887983955,71.9800688658292,147.833510317113,82.5536999341442,84.01356199254,108.108428310784,86.9853193933246,98.3197936255394,57.8939182191501,69.5283371429068,67.2206275340408,118.884860013077,130.485932373767,121.87140310095,129.65695363208,74.6770218803674,361.897376244022,222.37109250544,139.029304525511,284.530098542257,102.044821225323
"JMJD1C-AS1",0,0.640833226741407,1.89512983218625,2.23348643882872,7.3449049863091,1.66572969371395,0.831775314197926,1.72158938509303,0,0,1.82073691899147,2.14421919330186,0,2.35861850996634,1.69835514304396,0.690401758591359,9.02751134081112,0,0,6.3687944059507,5.13882776798286,2.13891237731555,7.11325246355644,0
"REEP3",39.7440483287628,16.9179971859731,29.0586574268559,20.1013779494584,24.9726769534509,31.2324317571366,22.457933483344,21.6920262521722,40.7257777883089,47.1607153337302,45.5184229747867,53.1106600187075,56.4917739286118,67.2206275340408,30.5703925747913,32.4488826537939,27.0825340224334,23.3382516537744,0,65.9357538498426,61.1987670550686,91.2602614321302,52.1638513994139,54.94721142902
"RP11-170M17.1",0,0,0,0,0,0,0,0,0,0,0.303456153165245,0.164939937946297,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-174J11.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-179K3.2",0,0.897166517437969,0.631709944062084,3.35022965824307,0,0.416432423428488,0,0,0,1.04801589630512,0,0,0,1.17930925498317,0,0,0,0,0,0.374634965055924,0,0.712970792438517,2.37108415451881,0
"RP11-252C24.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-428G2.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01515",0,0.897166517437969,1.89512983218625,4.46697287765743,0,1.24929727028546,1.45560679984637,0.344317877018607,0,1.04801589630512,0,0.989639627677779,0,0,0,0,0,0,0,1.12390489516777,1.40149848217714,0,2.37108415451881,15.6992032654343
"CTNNA3",0,0,0,0,0,0,1.03971914274741,1.37727150807443,0,0,0,0,0,7.07585552989903,0,0,0,0,0,0,0.934332321451429,0,0,0
"RP11-210G22.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LRRTM3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86866464290286,0,0,0
"RP11-344A5.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNAJC12",0,115.990814040195,14.5293287134279,11.1674321941436,0,7.0793511982843,0.831775314197926,0,0,1.04801589630512,1.21382461266098,0.659759751785186,4.34552107143168,9.43447403986537,3.39671028608792,2.07120527577408,0,7.77941721792481,0,0.749269930111847,3.27016312508,6.41673713194665,9.48433661807525,31.3984065308686
"RP11-57G10.8",0,0.256333290696563,0.631709944062084,0,0,0.416432423428488,0.623831485648445,0,0.740468687060162,0,1.21382461266098,0,0,0,0,0.690401758591359,0,0,0,0.374634965055924,0.467166160725715,0.712970792438517,2.37108415451881,0
"SIRT1",79.4880966575255,8.58716523833485,42.9562761962217,60.3041338483753,19.0967529644037,45.3911341537052,16.427562455409,17.9045296049675,17.7712484894439,20.9603179261023,26.4006853253763,20.6174922432871,47.8007317857484,31.8413498845456,40.7605234330551,37.2816949639334,31.5962896928389,31.1176688716993,59.7416175042939,69.6821035004018,52.32261000128,40.6393351689955,85.3590295626772,54.94721142902
"HERC4",59.6160724931442,12.9448311801764,34.1123369793526,33.5022965824307,20.5657339616655,51.6376205051325,18.7149445694533,17.5602117279489,17.7712484894439,17.816270237187,16.6900884240885,13.5250749115963,21.7276053571584,14.1517110597981,30.5703925747913,20.7120527577408,22.5687783520278,15.5588344358496,14.9354043760735,34.0917818200891,26.6284711613657,37.7874519992414,16.5975890816317,7.84960163271714
"MYPN",0,0,0,0,0,0.832864846856976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATOH7",0,0,0.631709944062084,0,0,0.416432423428488,0,0.688635754037213,0.740468687060162,0,0.303456153165245,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-153K11.3",0,3.4604994244036,0,0,0,0.416432423428488,0.415887657098963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PBLD",0,336.950110620632,53.6953452452772,8.93394575531486,7.3449049863091,26.2352426759948,59.4719349651517,26.1681586534141,31.0996848565268,19.9123020297972,30.3456153165245,21.4421919330185,8.69104214286335,16.5103295697644,5.09506542913189,13.8080351718272,4.51375567040556,12.965695363208,0,8.24196923123032,8.87615705378858,14.9723866412089,4.74216830903762,15.6992032654343
"HNRNPH3",218.592265808195,51.2666581393125,128.237118644603,144.059875304452,183.622624657727,140.754159118829,64.6705306788888,85.3908335006144,98.4823353790015,129.953971141834,108.030390526827,83.7894884767186,86.9104214286335,178.075697502459,52.6490094343628,92.5138356512422,72.220090726489,95.9461456877394,29.870808752147,162.966209799327,180.793304200852,150.436837204527,241.850583760919,141.292829388909
"RUFY2",19.8720241643814,4.101332651145,8.2122292728071,10.0506889747292,13.2208289753564,10.4108105857122,9.98130377037512,9.29658267950238,12.5879676800227,13.6242066519665,10.3175092076183,7.09241733169075,4.34552107143168,9.43447403986537,5.09506542913189,6.90401758591359,9.02751134081112,7.77941721792481,0,16.8585734275166,15.4164833039486,20.676152980717,23.7108415451881,31.3984065308686
"DNA2",19.8720241643814,0.640833226741407,1.26341988812417,1.11674321941436,0,2.08216211714244,2.70326977114326,1.72158938509303,1.48093737412032,0,0.303456153165245,0.164939937946297,0,2.35861850996634,0,0,0,0,0,1.49853986022369,0,0,2.37108415451881,0
"SLC25A16",19.8720241643814,15.7644973778386,20.8464281540488,15.634405071801,7.3449049863091,18.739459054282,18.2990569123544,16.5272580968931,19.9926545506244,7.33611127413581,13.3520707392708,10.2262761526704,8.69104214286335,3.53792776494951,5.09506542913189,5.52321406873088,9.02751134081112,12.965695363208,0,9.74050909145401,10.2776555359657,11.4075326790163,7.11325246355644,0
