"Gene.names","POD","PEC","PT_S1_S2","PT_S3","DTL1","ATL","M_TAL","C_TAL","DCT1","DCT2","CNT","CNT_PC","CNT_IC_A","CCD_PC","IC_A","IC_B","PC","IMCD","FIB","MYOF","VSMC","VSMC_P","MON","ncMON","MDC","MAC_M2","MAST","NK1","NKT","T","T_CYT","B","PL","EC_AVR","EC_AEA","EC_PTC","EC_GC","EC_LYM","MC","REN"
"CYP39A1",8.94451716005617,11.7114095746097,6.38862055093366,10.0631667697915,9.76028405792224,7.193418281707,9.05472425554555,11.5033053390074,10.2245740886143,7.57504024240129,8.51007958140134,6.11878508740824,9.05842522512613,8.56506637261908,12.9165410891839,9.57989426533844,9.31680387681143,13.8604971599841,1.93294609979801,9.60382836037954,9.01428764591878,6.01241424794179,5.81716144497428,1.83610217541386,0.964933563788059,5.10774142059058,7.5945137232863,3.1260229351837,6.1257994168239,4.59402424027702,1.82018733368038,7.15252102897062,7.08991908039023,6.49235768346185,8.38690589978342,6.03832801259046,2.36611906784373,4.45538488956215,3.84948513136368,0
"SLC25A27",13.4167757400843,38.3282495169044,13.9214716483032,15.2307388948195,24.0080550390271,21.2264801755288,29.0375639919219,26.027372557489,20.6420646694665,39.7689612726068,25.530238744204,23.6407605649864,26.2047301155434,25.8428726760058,23.7497690994671,45.1623586794526,23.7387057683141,18.0915962930319,23.1953531975761,12.347779320488,40.5642944066345,24.0496569917672,13.3579262810521,12.852715227897,3.85973425515224,17.4514498536845,15.1890274465726,18.7561376111022,17.0877562679824,13.537058094683,11.5278531133091,18.3283351367372,14.1798381607805,21.6411922782062,22.5578848339002,25.0682102340877,24.8442502123592,25.6184631149823,19.2474256568184,51.6849286747984
"AL591242.1",0,0,0.381410182145293,0.271977480264634,0.56093586539783,0.235849779728098,0.312231870880881,0.488203940117027,0,0.378752012120064,0.486290261794362,0,0.323515186611648,0.147673558148605,0.694437692966874,2.73711264723955,0.12762745036728,0,0,0,0,0,0.215450423887936,0,0,0,0,0,0,0.061253656537027,1.21345822245359,0.223516282155332,0,0,0.578407303433339,0.365959273490331,0,0,0,0
"TDRD6",0,3.19402079307536,1.2395830919722,1.08790992105854,3.36561519238698,1.65094845809669,2.34173903160661,2.74614716315828,1.35041544566603,3.40876810908058,1.21572565448591,0.278126594882193,0.970545559834943,2.65812404667489,1.38887538593375,2.73711264723955,2.68017645771288,5.54419886399365,0,0,0,0.92498680737566,1.29270254332762,0,0.536074202104477,2.12822559191274,0,0.893149410052486,1.28964198248924,1.34758044381459,1.21345822245359,1.11758141077666,0.787768786710025,3.78720864868608,2.02442556201669,1.09787782047099,1.18305953392187,2.22769244478107,0,51.6849286747984
"PLA2G7",1.49075286000936,2.12934719538358,0.0953525455363233,0.271977480264634,0.448748692318264,0.707549339184295,0.312231870880881,0.183076477543885,0.192916492238005,0.757504024240129,0.972580523588725,0.556253189764385,0,0,0.27777507718675,0,0.12762745036728,0,1.93294609979801,1.37197548005422,0,0.46249340368783,8.18711610774159,12.852715227897,49.9621156361373,32.7746741154562,0,0,0,1.5925950699627,0,0.447032564310664,0,0,0,0.182979636745166,0,2.22769244478107,0,0
"ANKRD66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEP1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182979636745166,0,0,0,0
"ADGRF5",53.667102960337,104.338012573795,93.9222573532784,164.274398079839,191.615691619899,201.061937218204,167.590456695313,131.235321652708,57.6820311791635,88.6279708360951,120.356839794105,123.488208127693,521.829996004587,107.358676774036,702.49317020529,91.693273682525,162.852626668649,1.75079964126115,83.1166822913143,54.8790192021688,135.214314688782,188.697308704635,128.623903061098,156.068684910178,24.659413296806,117.478052673583,106.323192126008,176.397008485366,143.79508104755,118.342064429536,37.6172048960612,146.626681093898,167.794751569235,219.117071816838,309.447907336836,354.065597101895,1307.28078498366,327.470789382818,219.42065248773,0
"AL096772.1",0,0,0,0.271977480264634,0.224374346159132,0.117924889864049,0,0,0,0,0,0,0,0,1.111100308747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578407303433339,0.182979636745166,0,0,0,0
"ADGRF1",8.94451716005617,28.7461871376783,16.3052852867113,22.8461083422293,52.5035970012369,51.5331768705895,32.8624044102127,31.4586413912909,12.1537390109943,7.95379225452135,44.4955589541842,48.3940275095015,130.053105017882,47.4032121657021,157.63735630348,38.3195770613537,81.8091956854264,367.084324784422,15.4635687983841,13.7197548005422,45.0714382295939,23.5871635880793,26.7158525621041,33.0498391574494,4.50302329767761,19.5796754455972,0,23.2218846613646,36.1099755096987,19.2336481526265,4.85383288981435,25.7043724478632,41.7517456956313,22.7232518921165,22.5578848339002,19.3958414949876,5.3237679026484,53.4646186747458,19.2474256568184,0
