"Gene.names","POD","PE","PT_S1_f","PT_S1_m","PT_S2_f","PT_S2_m","PT_S3_f","PT_S3_m","DTL_OM_cortex","DTL_OM_juxtmed","DTL_IM_upper","DTL_IM_lower","LOH_IM_1","LOH_IM_2","ATL_IM","TAL_OM_inner_stripe","TAL_OM_outer_stripe_cort","MD","DCT","CNT","PC_CNT","IC_non_A_B","ICA_CCD","PC_CCD","ICB_CCD","ICA_OMCD","PC_OMCD","ICA_IMCD","PC_IMCD_1","PC_IMCD_2","PC_deep_IMCD_1","Deep_IMCD_2","Pelvic_epithelium","Vascular","VSMC","Fibroblast","Macrophages","T_lymphocytes","B_lymphocytes","NK_myeloid"
"Atp6v1h",655.517408084168,764.202812541739,778.921660852715,644.281516342797,570.978637408589,586.521351558475,553.873932754166,511.918390900883,837.809866443251,507.609059806499,771.891995859622,527.545021834772,334.543264807721,455.932461672301,564.676120599761,457.956315580003,714.154565530624,1448.02725339715,988.585951369809,1166.76700862941,1363.84390510018,3785.7887105453,3383.28375882826,1412.40525388477,4348.6781324947,3394.71773740018,825.657628361975,2411.05370964004,740.119291810688,605.181922904841,450.666476196307,351.627004688581,412.219331361072,565.91766035234,526.97652886564,452.616690240453,381.22037539718,521.789393136139,466.177635339843,404.065590551358
"Oprk1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Npbwr1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rb1cc1",573.577732073647,612.739192037971,596.507528311139,579.057955429082,564.31999440674,586.521351558475,526.180236116458,698.070533046659,492.829333201912,548.217784591019,366.965047211951,459.474696436737,606.359667463995,382.281833248314,489.38597118646,672.108549484321,639.212419765065,685.907646346017,611.529130174273,493.375763649007,681.921952550092,581.902423863202,604.157814076474,663.50200298773,485.2602207934,531.702778147016,635.121252586134,647.745772739115,568.966705579466,413.490799729344,382.641347713846,437.875137914082,450.565315673729,549.797581542304,466.941228108795,377.180575200377,324.073488003675,430.60289724827,517.975150377604,391.978158355377
"4732440D04Rik",245.819028031563,144.578910480869,419.41935584377,475.65474910246,372.884008103569,327.999543709009,429.252297884479,46.5380355364439,344.980533241339,446.69597262972,291.041244340513,330.627294790456,188.180586454343,247.255681137671,338.805672359857,510.670711617989,440.836151562114,152.423921410226,899.866699323801,500.043003698318,266.839024910905,383.371008662816,422.910469853532,190.510476105388,391.9409475639,265.851389073508,246.109485377127,359.858762632842,240.538769838474,222.803294999792,297.609937110769,371.530420048312,354.700354892085,234.598593746061,123.405896000181,188.590287600189,159.866609037527,177.307075337523,263.696440192235,119.147545931811
"Fam150a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"St18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44675664287355,0,0,0
"Pcmtd1",1556.8538441999,771.087522564637,679.059909461342,728.594899962966,619.253799171998,505.733286605517,609.261326029582,511.918390900883,985.658666403824,588.826509375539,847.81579873106,1497.54715875677,1149.99247277654,1017.08010680744,564.676120599761,1001.57352472173,879.468122366417,1371.81529269203,842.832894437081,720.061925325578,1136.53658758349,1725.16953898267,1933.30500504472,1024.81497491174,1530.4360809638,1738.25908240371,996.346464994498,1561.78702982653,1238.15789859163,976.520747904495,884.326670271998,869.115804041588,776.506182331321,1470.01399531523,867.176566487761,980.669495520981,391.347671897295,640.83842943419,800.50705058357,428.240454943319
"Gm26901",0,13.7694200457971,9.32043012986155,11.1357299120977,9.98796450277416,12.9260903924733,27.6936966377083,93.0760710728879,0,0,0,4.86216609985965,0,8.76793195523655,0,16.4732487618706,24.2459883359163,0,3.16854471592888,33.3362002465545,29.6487805456562,13.6918217379577,40.2771876050983,13.1386535245095,74.6554185836001,0,7.93901565732668,7.19717525265684,3.08383038254453,1.00361844594501,17.0062821206154,0,9.58649607816445,1.7149020010677,0,0,0.723378321436774,2.53295821910747,14.1265950102983,3.45355205599451
"Gm30414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sntg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rrs1",245.819028031563,75.731810251884,229.016283190884,337.253534480674,236.381826565655,258.521807849465,341.555591865069,93.0760710728879,73.9243999802868,60.9130871767799,88.5777700166779,80.2257406476843,250.907448605791,45.5932461672301,150.580298826603,184.500386132951,160.905195320172,0,193.281227671661,160.013761183462,177.892683273937,177.99368259345,120.831562815295,111.678554958331,149.3108371672,184.050961666275,51.6036017726234,93.5632782845389,69.386183607252,71.2569096620957,144.553398025231,126.054963944963,76.6919686253156,61.7364720384371,53.3647117838622,75.4361150400754,53.5299957863213,58.2580390394718,42.3797850308949,69.0710411198902
"Adhfe1",245.819028031563,117.040070389275,1167.7167462698,1266.2915728614,1606.39762419618,2001.9282495343,2326.2705175675,1908.0594569942,0,182.73926153034,12.6539671452397,2.43108304992983,0,19.2894503015204,0,517.260011122738,643.620781280686,152.423921410226,766.787821254788,453.372323353142,365.668293396426,616.131978208097,664.573595484122,98.5399014338213,466.5963661475,327.201709628933,59.5426174299501,151.140680305794,15.4191519127227,27.0976980405153,17.0062821206154,13.268943573154,28.7594882344934,24.0086280149478,36.6882393514053,75.4361150400754,18.0844580359194,22.7966239719672,28.2531900205966,32.8087445319479
"3110035E14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34298040021354,0,0,0,0,0,0
"Gm29520",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mybl1",0,20.6541300686956,6.65745009275825,4.77245567661331,8.3233037523118,3.23152259811832,27.6936966377083,0,0,20.30436239226,0,7.29324914978948,0,3.50717278209462,37.6450747066508,6.58929950474825,6.61254227343171,0,6.33708943185775,6.66724004931091,0,20.5377326069365,0,0,0,0,19.8475391433167,28.7887010106273,7.70957595636133,8.02894756756008,42.5157053015384,26.537887146308,9.58649607816445,10.6323924066197,6.67058897298278,0,4.34026992862064,2.53295821910747,9.41773000686553,6.90710411198902
"Vcpip1",409.698380052605,309.811951030435,254.314593543365,268.848336449217,219.735219061031,232.669627064519,216.933956995382,232.69017768222,295.697599921147,243.65234870712,291.041244340513,218.797474493684,439.088035060134,234.98057640034,150.580298826603,230.625482666189,224.826437296678,0,231.303764262808,186.682721380705,247.073171213801,335.449632579964,261.801719433139,282.481050776954,298.6216743344,306.751602777125,230.231454062474,273.49265960096,205.074720439211,190.687504729552,357.131924532922,325.089117542273,306.767874501263,283.301810576384,230.135319567906,603.488920320603,351.561864218272,303.954986292897,329.620550240293,350.535533683443
"1700034P13Rik",0,13.7694200457971,22.6353303153781,33.4071897362932,33.2932150092472,24.2364194858874,18.4624644251389,46.5380355364439,0,40.6087247845199,0,4.86216609985965,0,7.01434556418924,0,6.58929950474825,2.20418075781057,0,9.50563414778663,0,0,13.6918217379577,0,0,0,0,7.93901565732668,21.5915257579705,6.16766076508907,3.01085533783503,0,6.634471786577,0,1.37192160085416,3.33529448649139,0,0.723378321436774,5.06591643821494,0,1.72677602799726
"Sgk3",163.879352021042,165.233040549565,238.336713320745,221.123779683083,174.789378798548,116.334813532259,87.6967060194096,93.0760710728879,542.112266522103,182.73926153034,113.885704307157,116.691986396632,20.9089540504826,70.1434556418924,150.580298826603,85.6608935617272,134.455026226445,0,158.427235796444,100.008600739664,118.595122182625,184.839593462429,201.385938025491,65.6932676225475,130.6469825213,81.8004274072332,51.6036017726234,129.549154547823,13.8772367214504,6.02171067567006,0,145.958379304694,498.497796064552,314.513026995816,50.0294172973709,150.872230080151,603.297520078269,101.318328764299,428.506715312381,813.311509186707
"Mcmdc2",0,20.6541300686956,51.9281107235144,15.908185588711,19.9759290055483,4.84728389717748,4.61561610628472,0,49.2829333201912,101.5218119613,12.6539671452397,31.6040796490877,41.8179081009652,22.796623083615,0,3.29464975237412,2.20418075781057,0,0,6.66724004931091,0,6.84591086897885,0,0,0,40.9002137036166,3.96950782866334,7.19717525265684,1.54191519127227,4.01447378378004,76.5282695427691,39.806830719462,47.9324803908223,10.2894120064062,6.67058897298278,0,7.23378321436774,10.1318328764299,9.41773000686553,22.4480883639643
"Snhg6",409.698380052605,564.546221877681,408.767435695357,394.523002600034,436.141116621138,413.634892559145,433.867913990763,325.766248755108,887.092799763442,548.217784591019,645.352324407225,447.319281187088,313.634310757239,324.413482343752,263.515522946555,405.241919542017,511.369935812052,457.271764230678,339.03428460439,373.365442761411,345.902439699322,383.371008662816,543.742032668827,275.9117240147,410.6048022098,470.352457591591,301.682594978414,345.464412127528,277.544734429008,193.698360067387,289.106796050461,325.089117542273,287.594882344934,435.242127870982,483.617700541252,414.898632720415,353.008620861146,405.273315057195,508.557420370738,397.158486439369
"Tcf24",0,82.6165202747825,53.259600742066,54.0878310016175,39.9518580110966,32.3152259811832,13.8468483188541,0,221.77319994086,142.13053674582,75.9238028714382,51.0527440485264,167.271632403861,33.3181414298989,37.6450747066508,62.5983452951084,112.413218648339,152.423921410226,31.6854471592888,13.3344800986218,49.4146342427603,6.84591086897885,20.1385938025491,26.277307049019,18.6638546459,0,15.8780313146534,14.3943505053137,10.7934063389059,5.01809222972505,0,13.268943573154,0,1.7149020010677,0,0,1.44675664287355,5.06591643821494,4.70886500343276,0
"Ppp1r42",0,13.7694200457971,6.65745009275825,7.95409279435552,6.65864300184944,1.61576129905916,4.61561610628472,0,0,20.30436239226,0,4.86216609985965,0,0,0,3.29464975237412,17.6334460624846,76.2119607051131,0,0,0,0,0,6.56932676225475,0,0,3.96950782866334,7.19717525265684,1.54191519127227,0,0,0,0,0,0,0,0.723378321436774,2.53295821910747,0,0
"Gm15818",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cops5",819.396760105211,695.355712312753,491.319816845559,521.788487309722,482.751617634084,620.452338838717,461.561610628471,372.304284291551,1034.94159972402,649.739596552319,797.199930150101,865.465565775018,313.634310757239,715.463247547303,715.256419426364,332.759624989787,445.244513077735,914.543528461357,548.158235855696,486.708523599696,513.912196124707,1054.27027382274,1550.67172279628,518.976814218125,1978.3685924654,797.554167220524,615.273713442818,813.280803550223,618.307991700179,736.655939323637,697.25756694523,504.219855779852,642.295237237018,625.596249989496,697.076547676701,641.206977840641,434.750371183501,544.586017108106,598.025855435961,516.30603237118
"Cspp1",327.758704042084,853.70404283942,1427.35729988737,1434.91834010174,1088.68813080238,1253.83076806991,1352.37551914142,1023.83678180177,985.658666403824,1218.2617435356,1113.54910878109,1111.00495381793,1003.62979442316,808.40332627281,903.481792959618,622.688803198709,731.788011593109,762.119607051131,766.787821254788,640.055044733847,583.092684064571,896.814323836229,1409.70156617844,630.655369176456,1306.469825213,1063.40555629403,662.907807386778,1000.4073601193,747.828867767049,788.844098512778,1241.45859480492,736.426368310047,680.641221549676,613.934916382236,453.600050162829,339.462517680339,394.241185183042,481.26206163042,758.127265552675,391.978158355377
"Arfgef1",81.9396760105211,598.969771992173,462.027036437423,440.656740807296,542.679404650729,521.890899596108,793.885970280971,698.070533046659,813.168399783155,791.870133298139,531.466620100068,702.58300142972,1547.26259973571,603.233718520275,790.546568839666,889.555433141014,1060.21094450688,685.907646346017,792.136178982219,720.061925325578,1245.24878291756,896.814323836229,966.652502522359,1491.23717503183,653.234912606501,1042.95544944222,1182.91333294168,1122.75933941447,1228.906407444,914.296404255904,824.804682849845,928.826050120781,728.573701940498,374.877577433399,290.170620324751,377.180575200377,254.629169145744,453.399521220237,517.975150377604,397.158486439369
"Cpa6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prex2",0,6.88471002289855,35.9502305008946,116.129754797591,154.813449792999,195.507117186158,46.1561610628471,139.614106609332,0,0,25.3079342904794,12.1554152496491,0,10.5215183462839,0,13.1785990094965,15.429265304674,0,12.6741788637155,20.0017201479327,19.7658536971041,13.6918217379577,0,39.4159605735285,18.6638546459,0,91.2986800592568,14.3943505053137,18.5029822952672,6.02171067567006,0,13.268943573154,0,2129.22232452565,183.441196757026,2338.51956624234,71.6144538222406,55.7250808203644,94.1773000686553,96.6994575678463
"A830018L16Rik",0,0,1.33149001855165,1.5908185588711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1385938025491,0,0,0,0,0,0,0,0,0,0,0.685960800427079,0,0,0,0,0,0
"Gm17644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm29663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sulf1",819.396760105211,13.7694200457971,2.6629800371033,1.5908185588711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6945888153749,6.67058897298278,0,0,0,0,0
"Slco5a1",0,6.88471002289855,1.33149001855165,0,0,0,0,0,0,0,0,2.43108304992983,0,0,0,0,0,0,0,0,0,0,0,0,18.6638546459,0,0,0,0,0,0,0,0,0.685960800427079,6.67058897298278,0,0,0,23.5443250171638,0
"Gm29283",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prdm14",0,0,0,0,0,1.61576129905916,0,0,0,0,0,0,0,0,0,0,2.20418075781057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ncoa2",163.879352021042,261.618980870145,271.623963784537,256.121787978248,291.315631330913,303.763124223122,230.780805314236,418.842319827995,221.77319994086,162.43489913808,265.733310050034,235.815055843193,459.996989110617,164.837120758447,112.935224119952,210.857584151944,216.009714265436,304.847842820452,224.96667483095,246.687881824504,217.424390668145,225.915058676302,342.356094643335,275.9117240147,205.3024011049,306.751602777125,273.89604017777,359.858762632842,266.751328090102,202.730926080892,170.062821206154,145.958379304694,57.5189764689867,257.578280560368,246.811792000363,301.744460160302,251.735655859997,336.883443141294,235.443250171638,262.469956255583
"Gm29570",0,0,0,0,0,1.61576129905916,4.61561610628472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72677602799726
"Tram1",1638.79352021042,1225.47838407594,631.126268793482,698.369347344415,717.468783449277,917.752417865602,646.18625487986,1209.98892394754,1675.6197328865,791.870133298139,784.545963004862,1018.6237979206,1066.35665657461,1146.84549974494,1204.64239061282,724.822945522307,786.892530538373,990.75548916647,779.462000118504,606.718844487293,998.175611703757,677.745176028906,604.157814076474,913.13641995341,895.865023003201,797.554167220524,960.620894536528,770.097752034282,908.188047659365,1035.73423621525,1411.52141601107,1167.66703443755,1188.72551369239,1491.27878012847,833.823621622848,1244.69589816124,1519.09447501723,2340.4533944553,1827.03962133191,1904.63395888097
"Lactb2",655.517408084168,619.623902060869,3832.02827339165,4236.34982227375,3663.91831176765,4432.03324331927,5049.48402027548,5212.25998008172,418.904933221625,507.609059806499,240.425375759554,201.779893144176,83.6358162019303,192.894503015204,75.2901494133015,138.375289599713,271.1142332107,457.271764230678,348.539918752176,280.024082071058,187.775610122489,643.515621684012,503.464845063729,269.342397252445,653.234912606501,429.452243887974,182.597360118514,244.703958590332,146.481943170865,183.662175607937,170.062821206154,159.227322877848,134.210945094302,255.177417758873,310.182387243699,264.026402640264,217.736874752469,273.559487663607,141.265950102983,208.939899387668
"Xkr9",0,6.88471002289855,6.65745009275825,9.54491135322663,1.66466075046236,4.84728389717748,4.61561610628472,0,0,0,0,0,0,0,0,0,2.20418075781057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34298040021354,0,0,0,0,4.70886500343276,0
"Eya1",81.9396760105211,27.5388400915942,2.6629800371033,0,1.66466075046236,0,0,0,0,0,0,2.43108304992983,0,19.2894503015204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40086280149478,0,0,2.17013496431032,0,32.9620550240293,13.814208223978
"Gm9947",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Msc",0,48.1929701602898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7180575200377,0,0,0,0
"Trpa1",0,0,0,0,0,0,0,0,0,0,0,2.43108304992983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.50314106030768,0,0,0,0,0,0.723378321436774,0,0,0
"Kcnb2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6823558919311,37.7180575200377,0,0,0,0
"Terf1",81.9396760105211,351.120211167826,209.043932912609,143.173670298399,226.393862062881,193.891355887099,189.240260357673,186.152142145776,616.03666650239,243.65234870712,455.542817228629,401.128703238421,229.998494555308,306.877618433279,150.580298826603,171.321787123454,171.926099109224,152.423921410226,129.910333353084,140.012041035529,197.658536971041,143.764128248556,241.66312563059,236.495763441171,149.3108371672,184.050961666275,297.71308714975,201.520907074391,286.796225576642,390.407575472609,416.653911955076,444.509609700659,498.497796064552,407.460715453685,280.164736865277,264.026402640264,259.692817395802,339.416401360401,381.418065278054,207.213123359671
"Sbspon",0,6.88471002289855,0,3.18163711774221,1.66466075046236,0,4.61561610628472,0,24.6414666600956,0,25.3079342904794,34.0351626990176,104.544770252413,84.1721467702709,225.870448239905,26.357198018993,6.61254227343171,0,9.50563414778663,6.66724004931091,39.5317073942082,0,0,492.699507169106,18.6638546459,0,1714.82738198256,115.154804042509,2528.74091368652,4209.17576229337,3001.60879428861,2388.40984316772,3345.68713127939,24.6945888153749,343.535332108613,339.462517680339,18.8078363573561,17.7307075337523,18.8354600137311,24.1748643919616
"4930444P10Rik",0,0,1.33149001855165,0,0,1.61576129905916,0,0,0,0,0,0,0,0,0,0,4.40836151562114,0,3.16854471592888,0,39.5317073942082,0,0,52.554614098038,18.6638546459,0,7.93901565732668,0,4.6257455738168,4.01447378378004,0,0,0,0,0,0,2.17013496431032,0,0,0
"Rpl7",7784.2692209995,15483.7128414988,6114.20216518918,6186.69337544972,7126.41267272936,5286.77097052157,5127.94949408232,4560.72748257151,14587.7482627766,9279.09361326281,13223.3956667755,12432.5587173411,11290.8351872606,14040.9662331158,10314.7504696223,9145.94771259057,9226.70065219504,13337.0931233948,6048.75186270822,6080.52292497155,8657.4439193316,5141.27906260312,6967.953455682,12061.2839354997,6644.33225394041,5337.47788832197,11773.5602198155,6664.58428396023,13141.7431752135,14532.3950972837,10637.4294664449,12134.4488976493,19757.7684170969,11254.5588526071,9975.86580909575,9919.84912776992,12613.547790893,22748.4977658042,22720.2736415631,18783.8696325541
"Rdh10",0,282.27311093884,250.32012348771,168.626767240337,359.56672209987,426.560982951618,133.852867082257,232.69017768222,640.678133162486,284.26107349164,430.23488293815,216.366391443755,104.544770252413,112.229529027028,376.450747066508,280.045228951801,282.135136999753,304.847842820452,155.258691080515,140.012041035529,118.595122182625,82.1509304277462,60.4157814076474,472.991526882342,298.6216743344,40.9002137036166,353.286196751037,79.1689277792252,496.49669158967,423.526984188794,340.125642412307,145.958379304694,105.451456859809,58.6496484365153,40.0235338378967,264.026402640264,90.4222901795968,37.9943732866121,28.2531900205966,56.9836089239094
"Gm28095",0,0,0,0,1.66466075046236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56932676225475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stau2",81.9396760105211,185.887170618261,143.800922003578,81.1317465024263,104.873627279129,101.792961840727,133.852867082257,232.69017768222,295.697599921147,121.82617435356,265.733310050034,94.8122389472632,146.362678353378,133.272565719596,263.515522946555,194.384335390073,158.701014562361,228.635882115339,323.191561024745,226.686161676571,197.658536971041,198.531415200387,241.66312563059,190.510476105388,298.6216743344,184.050961666275,190.53637577584,244.703958590332,152.649603935954,147.531911553916,68.0251284824614,79.6136614389241,153.383937250631,18.1779612113176,56.7000062703536,37.7180575200377,75.9547237508613,20.2636657528598,37.6709200274621,29.3551924759533
"Gm7568",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ube2w",409.698380052605,1101.55360366377,400.778495584047,349.980082951643,306.297578085074,287.60551123253,378.480520715347,465.380355364439,739.243999802868,791.870133298139,480.850751519109,488.647693035895,522.723851262064,659.348483033789,376.450747066508,296.518477713671,304.176944577859,228.635882115339,386.562455343323,253.355121873814,326.136586002218,362.833276055879,302.078907038237,381.020952210776,578.579494022901,286.301495925316,563.670111670194,381.450288390812,507.290097928576,528.90692101302,459.169617256615,517.488799353006,450.565315673729,558.372091547643,516.970645406165,603.488920320603,400.751590075973,291.290195197359,513.266285374171,369.530069991413
"Tceb1",2048.49190026303,2251.30017748782,1330.1585285331,1145.38936238719,1370.01579763052,1281.29871015391,1250.83196480316,1349.60303055687,2390.22226602927,1969.52315204922,1974.01887465739,1957.02185519351,1045.44770252413,1606.28513419934,1468.15791355938,1620.96767816807,1463.57602318622,1448.02725339715,2084.9024230812,1466.7928108484,1304.54634400887,1937.39277592101,1490.25594138864,1688.31697789947,1978.3685924654,1840.50961666275,1818.03458552781,1748.91358639561,2015.28315499285,1966.08853560627,1343.49628752861,1598.90770056506,1591.3583489753,1678.20309824485,2007.84728086782,1659.59453088166,1027.92059476166,1603.36255269503,1120.709870817,1312.34978127791
"D030040B21Rik",0,0,1.33149001855165,0,0,4.84728389717748,4.61561610628472,0,0,0,0,0,0,0,0,0,4.40836151562114,0,0,6.66724004931091,0,0,0,0,0,0,0,7.19717525265684,0,0,0,6.634471786577,0,0.34298040021354,0,0,0,0,0,0
